ID,Education qualification,Area of study,Sex,Year,sum_of_graduates,sum_of_median_income
1,"Career, technical or professional training certificate",Education,Male,2010,100,43900
2,"Career, technical or professional training certificate","Visual and performing arts, and communications technologies",Male,2010,310,36600
3,"Career, technical or professional training certificate",Humanities,Male,2010,20,45500
4,"Career, technical or professional training certificate",Social and behavioural sciences and law,Male,2010,80,45100
5,"Career, technical or professional training certificate","Business, management and public administration",Male,2010,550,58300
6,"Career, technical or professional training certificate",Physical and life sciences and technologies,Male,2010,10,NA
7,"Career, technical or professional training certificate","Mathematics, computer and information sciences",Male,2010,350,57600
8,"Career, technical or professional training certificate","Architecture, engineering, and related technologies",Male,2010,6170,59600
9,"Career, technical or professional training certificate","Agriculture, natural resources and conservation",Male,2010,230,59100
10,"Career, technical or professional training certificate",Health and related fields,Male,2010,920,57200
11,"Career, technical or professional training certificate","Personal, protective and transportation services",Male,2010,1220,59100
12,"Career, technical or professional training certificate",Other instructional programs,Male,2010,NA,NA
13,"Career, technical or professional training diploma",Education,Male,2010,300,63200
14,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies",Male,2010,680,37900
15,"Career, technical or professional training diploma",Humanities,Male,2010,130,41300
16,"Career, technical or professional training diploma",Social and behavioural sciences and law,Male,2010,400,47300
17,"Career, technical or professional training diploma","Business, management and public administration",Male,2010,3260,52100
18,"Career, technical or professional training diploma",Physical and life sciences and technologies,Male,2010,210,54000
19,"Career, technical or professional training diploma","Mathematics, computer and information sciences",Male,2010,710,53700
20,"Career, technical or professional training diploma","Architecture, engineering, and related technologies",Male,2010,4420,65800
21,"Career, technical or professional training diploma","Agriculture, natural resources and conservation",Male,2010,420,53100
22,"Career, technical or professional training diploma",Health and related fields,Male,2010,1090,62300
23,"Career, technical or professional training diploma","Personal, protective and transportation services",Male,2010,1190,64500
24,"Career, technical or professional training diploma",Other instructional programs,Male,2010,NA,NA
25,Undergraduate degree,Education,Male,2010,4110,63100
26,Undergraduate degree,"Visual and performing arts, and communications technologies",Male,2010,1610,40100
27,Undergraduate degree,Humanities,Male,2010,4120,50200
28,Undergraduate degree,Social and behavioural sciences and law,Male,2010,7870,56200
29,Undergraduate degree,"Business, management and public administration",Male,2010,11600,67700
30,Undergraduate degree,Physical and life sciences and technologies,Male,2010,3400,60100
31,Undergraduate degree,"Mathematics, computer and information sciences",Male,2010,2130,72800
32,Undergraduate degree,"Architecture, engineering, and related technologies",Male,2010,8050,80300
33,Undergraduate degree,"Agriculture, natural resources and conservation",Male,2010,740,64300
34,Undergraduate degree,Health and related fields,Male,2010,2680,66500
35,Undergraduate degree,"Personal, protective and transportation services",Male,2010,320,71400
36,Undergraduate degree,Other instructional programs,Male,2010,340,58000
37,Professional degree,Education,Male,2010,NA,NA
38,Professional degree,"Visual and performing arts, and communications technologies",Male,2010,NA,NA
39,Professional degree,Humanities,Male,2010,NA,NA
40,Professional degree,Social and behavioural sciences and law,Male,2010,1270,103800
41,Professional degree,"Business, management and public administration",Male,2010,NA,NA
42,Professional degree,Physical and life sciences and technologies,Male,2010,NA,NA
43,Professional degree,"Mathematics, computer and information sciences",Male,2010,NA,NA
44,Professional degree,"Architecture, engineering, and related technologies",Male,2010,NA,NA
45,Professional degree,"Agriculture, natural resources and conservation",Male,2010,NA,NA
46,Professional degree,Health and related fields,Male,2010,1220,113200
47,Professional degree,"Personal, protective and transportation services",Male,2010,NA,NA
48,Professional degree,Other instructional programs,Male,2010,NA,NA
49,Master's degree,Education,Male,2010,920,98100
50,Master's degree,"Visual and performing arts, and communications technologies",Male,2010,230,39400
51,Master's degree,Humanities,Male,2010,570,52300
52,Master's degree,Social and behavioural sciences and law,Male,2010,1290,72900
53,Master's degree,"Business, management and public administration",Male,2010,4410,103700
54,Master's degree,Physical and life sciences and technologies,Male,2010,720,67600
55,Master's degree,"Mathematics, computer and information sciences",Male,2010,830,81900
56,Master's degree,"Architecture, engineering, and related technologies",Male,2010,2460,82800
57,Master's degree,"Agriculture, natural resources and conservation",Male,2010,330,71600
58,Master's degree,Health and related fields,Male,2010,680,86800
59,Master's degree,"Personal, protective and transportation services",Male,2010,40,110000
60,Master's degree,Other instructional programs,Male,2010,40,73400
61,Doctoral degree,Education,Male,2010,90,105500
62,Doctoral degree,"Visual and performing arts, and communications technologies",Male,2010,30,71200
63,Doctoral degree,Humanities,Male,2010,160,77600
64,Doctoral degree,Social and behavioural sciences and law,Male,2010,280,94600
65,Doctoral degree,"Business, management and public administration",Male,2010,80,125700
66,Doctoral degree,Physical and life sciences and technologies,Male,2010,570,72300
67,Doctoral degree,"Mathematics, computer and information sciences",Male,2010,180,102100
68,Doctoral degree,"Architecture, engineering, and related technologies",Male,2010,560,101500
69,Doctoral degree,"Agriculture, natural resources and conservation",Male,2010,90,77000
70,Doctoral degree,Health and related fields,Male,2010,160,98900
71,Doctoral degree,"Personal, protective and transportation services",Male,2010,0,NA
72,Doctoral degree,Other instructional programs,Male,2010,20,NA
